pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
4, 39, 0, 0, 3, 838109, 13003, 851112, 87, TIU PerChannel Convolution
1, 446, 33, 491, 1, 850681, 1265, 851946, 88, TDMA Tensor Load Compression, 0x4296386032, 0x2824,         0, 0, 446, 38, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 447, 35, 495, 1, 851947, 1240, 853187, 88, TDMA Tensor Load Compression, 0x4296401280, 0x2880,         0, 0, 447, 38, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 448, 36, 498, 1, 853188, 1253, 854441, 88, TDMA Tensor Load Compression, 0x4296416528, 0x2936,         0, 0, 448, 38, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 449, 35, 498, 1, 854442, 1257, 855699, 88, TDMA Tensor Load Compression, 0x4296431776, 0x2992,         0, 0, 449, 38, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 450, 34, 496, 1, 855700, 1243, 856943, 88, TDMA Tensor Load Compression, 0x4296447024, 0x3048,         0, 0, 450, 38, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
4, 40, 0, 0, 3, 856947, 1413, 858360, 89, TIU Element-wise Mul
4, 41, 0, 0, 3, 858361, 3177, 861538, 89, TIU Element-wise Mac
2, 451, 47, 673, 2, 861540, 1389, 862929, 91, TDMA Tensor Store Compression, 0x8592, 0x4297316832,         0, 0, 451, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 452, 44, 672, 2, 862930, 1163, 864093, 91, TDMA Tensor Store Compression, 0x8648, 0x4297332080,         0, 0, 452, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 453, 46, 673, 2, 864094, 1359, 865453, 91, TDMA Tensor Store Compression, 0x8704, 0x4297347328,         0, 0, 453, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 454, 47, 675, 2, 865454, 1162, 866616, 91, TDMA Tensor Store Compression, 0x8760, 0x4297362576,         0, 0, 454, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 455, 47, 673, 2, 866617, 1357, 867974, 91, TDMA Tensor Store Compression, 0x8816, 0x4297377824,         0, 0, 455, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 456, 46, 667, 2, 867975, 1161, 869136, 91, TDMA Tensor Store Compression, 0x8872, 0x4297393072,         0, 0, 456, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 457, 46, 660, 2, 869137, 1332, 870469, 91, TDMA Tensor Store Compression, 0x8928, 0x4297408320,         0, 0, 457, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 458, 46, 654, 2, 870470, 1162, 871632, 91, TDMA Tensor Store Compression, 0x8984, 0x4297423568,         0, 0, 458, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 459, 45, 652, 2, 871633, 1320, 872953, 91, TDMA Tensor Store Compression, 0x9040, 0x4297438816,         0, 0, 459, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 460, 45, 657, 2, 872954, 1155, 874109, 91, TDMA Tensor Store Compression, 0x9096, 0x4297454064,         0, 0, 460, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
4, 42, 0, 0, 3, 861539, 12709, 874248, 90, TIU PerChannel Convolution
2, 461, 46, 664, 2, 874110, 1324, 875434, 91, TDMA Tensor Store Compression, 0x9152, 0x4297469312,         0, 0, 461, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 462, 46, 663, 2, 875435, 1130, 876565, 91, TDMA Tensor Store Compression, 0x9208, 0x4297484560,         0, 0, 462, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 463, 45, 656, 2, 876566, 1328, 877894, 91, TDMA Tensor Store Compression, 0x9264, 0x4297499808,         0, 0, 463, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 464, 45, 656, 2, 877895, 1129, 879024, 91, TDMA Tensor Store Compression, 0x9320, 0x4297515056,         0, 0, 464, 41, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 465, 10, 129, 2, 879025, 372, 879397, 92, TDMA Tensor Store Compression, 0x2320, 0x4295020832,         0, 0, 465, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 466, 10, 128, 2, 879398, 366, 879764, 92, TDMA Tensor Store Compression, 0x2376, 0x4295024656,         0, 0, 466, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 467, 11, 128, 2, 879765, 382, 880147, 92, TDMA Tensor Store Compression, 0x2432, 0x4295028480,         0, 0, 467, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 468, 11, 131, 2, 880148, 365, 880513, 92, TDMA Tensor Store Compression, 0x2488, 0x4295032304,         0, 0, 468, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 469, 11, 131, 2, 880514, 373, 880887, 92, TDMA Tensor Store Compression, 0x2544, 0x4295036128,         0, 0, 469, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 470, 11, 130, 2, 880888, 368, 881256, 92, TDMA Tensor Store Compression, 0x2600, 0x4295039952,         0, 0, 470, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 471, 11, 128, 2, 881257, 379, 881636, 92, TDMA Tensor Store Compression, 0x2656, 0x4295043776,         0, 0, 471, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 472, 10, 125, 2, 881637, 364, 882001, 92, TDMA Tensor Store Compression, 0x2712, 0x4295047600,         0, 0, 472, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 473, 10, 123, 2, 882002, 368, 882370, 92, TDMA Tensor Store Compression, 0x2768, 0x4295051424,         0, 0, 473, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 474, 9, 125, 2, 882371, 365, 882736, 92, TDMA Tensor Store Compression, 0x2824, 0x4295055248,         0, 0, 474, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 475, 9, 125, 2, 882737, 369, 883106, 92, TDMA Tensor Store Compression, 0x2880, 0x4295059072,         0, 0, 475, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 476, 9, 124, 2, 883107, 365, 883472, 92, TDMA Tensor Store Compression, 0x2936, 0x4295062896,         0, 0, 476, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 477, 9, 118, 2, 883473, 364, 883837, 92, TDMA Tensor Store Compression, 0x2992, 0x4295066720,         0, 0, 477, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 478, 9, 121, 2, 883838, 358, 884196, 92, TDMA Tensor Store Compression, 0x3048, 0x4295070544,         0, 0, 478, 42, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
1, 479, 9, 119, 1, 884197, 465, 884662, 93, TDMA Tensor Load Compression, 0x4296992464, 0x2320,         0, 0, 479, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 480, 10, 118, 1, 884663, 597, 885260, 93, TDMA Tensor Load Compression, 0x4296996288, 0x2376,         0, 0, 480, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 481, 10, 120, 1, 885261, 513, 885774, 93, TDMA Tensor Load Compression, 0x4297000112, 0x2432,         0, 0, 481, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 482, 10, 118, 1, 885775, 466, 886241, 93, TDMA Tensor Load Compression, 0x4297003936, 0x2488,         0, 0, 482, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 483, 9, 118, 1, 886242, 466, 886708, 93, TDMA Tensor Load Compression, 0x4297007760, 0x2544,         0, 0, 483, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 484, 10, 118, 1, 886709, 468, 887177, 93, TDMA Tensor Load Compression, 0x4297011584, 0x2600,         0, 0, 484, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 485, 10, 117, 1, 887178, 584, 887762, 93, TDMA Tensor Load Compression, 0x4297015408, 0x2656,         0, 0, 485, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 486, 11, 117, 1, 887763, 462, 888225, 93, TDMA Tensor Load Compression, 0x4297019232, 0x2712,         0, 0, 486, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 487, 9, 117, 1, 888226, 468, 888694, 93, TDMA Tensor Load Compression, 0x4297023056, 0x2768,         0, 0, 487, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 488, 10, 118, 1, 888695, 469, 889164, 93, TDMA Tensor Load Compression, 0x4297026880, 0x2824,         0, 0, 488, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 489, 10, 116, 1, 889165, 467, 889632, 93, TDMA Tensor Load Compression, 0x4297030704, 0x2880,         0, 0, 489, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 490, 10, 116, 1, 889633, 499, 890132, 93, TDMA Tensor Load Compression, 0x4297034528, 0x2936,         0, 0, 490, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 491, 9, 115, 1, 890133, 477, 890610, 93, TDMA Tensor Load Compression, 0x4297038352, 0x2992,         0, 0, 491, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 492, 10, 116, 1, 890611, 471, 891082, 93, TDMA Tensor Load Compression, 0x4297042176, 0x3048,         0, 0, 492, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 493, 10, 118, 1, 891083, 470, 891553, 93, TDMA Tensor Load Compression, 0x4297046000, 0x3104,         0, 0, 493, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 494, 10, 118, 1, 891554, 470, 892024, 93, TDMA Tensor Load Compression, 0x4297049824, 0x3160,         0, 0, 494, 42, 56, 896, 1792, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
4, 43, 0, 0, 3, 892028, 28389, 920417, 94, TIU PerChannel Convolution
1, 495, 35, 496, 1, 920419, 1704, 922123, 96, TDMA Tensor Load Compression, 0x4296462272, 0x2320,         0, 0, 495, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 496, 35, 495, 1, 922124, 1323, 923447, 96, TDMA Tensor Load Compression, 0x4296477520, 0x2376,         0, 0, 496, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 497, 35, 490, 1, 923448, 1304, 924752, 96, TDMA Tensor Load Compression, 0x4296492768, 0x2432,         0, 0, 497, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 498, 32, 488, 1, 924753, 1312, 926065, 96, TDMA Tensor Load Compression, 0x4296508016, 0x2488,         0, 0, 498, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 499, 35, 486, 1, 926066, 1267, 927333, 96, TDMA Tensor Load Compression, 0x4296523264, 0x2544,         0, 0, 499, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 500, 34, 483, 1, 927334, 1269, 928603, 96, TDMA Tensor Load Compression, 0x4296538512, 0x2600,         0, 0, 500, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 501, 35, 488, 1, 928604, 1307, 929911, 96, TDMA Tensor Load Compression, 0x4296553760, 0x2656,         0, 0, 501, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 502, 33, 487, 1, 929912, 1292, 931204, 96, TDMA Tensor Load Compression, 0x4296569008, 0x2712,         0, 0, 502, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 503, 34, 486, 1, 931205, 1300, 932505, 96, TDMA Tensor Load Compression, 0x4296584256, 0x2768,         0, 0, 503, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
4, 44, 0, 0, 3, 920418, 13003, 933421, 95, TIU PerChannel Convolution
1, 504, 35, 484, 1, 932506, 1261, 933767, 96, TDMA Tensor Load Compression, 0x4296599504, 0x2824,         0, 0, 504, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 505, 34, 481, 1, 933768, 1257, 935025, 96, TDMA Tensor Load Compression, 0x4296614752, 0x2880,         0, 0, 505, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 506, 32, 479, 1, 935026, 1246, 936272, 96, TDMA Tensor Load Compression, 0x4296630000, 0x2936,         0, 0, 506, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 507, 34, 483, 1, 936273, 1250, 937523, 96, TDMA Tensor Load Compression, 0x4296645248, 0x2992,         0, 0, 507, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 508, 35, 486, 1, 937524, 1243, 938767, 96, TDMA Tensor Load Compression, 0x4296660496, 0x3048,         0, 0, 508, 43, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
4, 45, 0, 0, 3, 938771, 1413, 940184, 97, TIU Element-wise Mul
4, 46, 0, 0, 3, 940185, 3177, 943362, 97, TIU Element-wise Mac
2, 509, 46, 655, 2, 943364, 1198, 944562, 99, TDMA Tensor Store Compression, 0x8592, 0x4297530304,         0, 0, 509, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 510, 46, 657, 2, 944563, 1239, 945802, 99, TDMA Tensor Store Compression, 0x8648, 0x4297545552,         0, 0, 510, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 511, 45, 653, 2, 945803, 1188, 946991, 99, TDMA Tensor Store Compression, 0x8704, 0x4297560800,         0, 0, 511, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 512, 44, 653, 2, 946992, 1259, 948251, 99, TDMA Tensor Store Compression, 0x8760, 0x4297576048,         0, 0, 512, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 513, 46, 655, 2, 948252, 1176, 949428, 99, TDMA Tensor Store Compression, 0x8816, 0x4297591296,         0, 0, 513, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 514, 45, 651, 2, 949429, 1242, 950671, 99, TDMA Tensor Store Compression, 0x8872, 0x4297606544,         0, 0, 514, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 515, 45, 654, 2, 950672, 1188, 951860, 99, TDMA Tensor Store Compression, 0x8928, 0x4297621792,         0, 0, 515, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 516, 46, 658, 2, 951861, 1267, 953128, 99, TDMA Tensor Store Compression, 0x8984, 0x4297637040,         0, 0, 516, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 517, 45, 649, 2, 953129, 1190, 954319, 99, TDMA Tensor Store Compression, 0x9040, 0x4297652288,         0, 0, 517, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 518, 44, 648, 2, 954320, 1287, 955607, 99, TDMA Tensor Store Compression, 0x9096, 0x4297667536,         0, 0, 518, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
4, 47, 0, 0, 3, 943363, 12709, 956072, 98, TIU PerChannel Convolution
2, 519, 45, 644, 2, 955608, 1176, 956784, 99, TDMA Tensor Store Compression, 0x9152, 0x4297682784,         0, 0, 519, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 520, 46, 650, 2, 956785, 1287, 958072, 99, TDMA Tensor Store Compression, 0x9208, 0x4297698032,         0, 0, 520, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 521, 45, 654, 2, 958073, 1172, 959245, 99, TDMA Tensor Store Compression, 0x9264, 0x4297713280,         0, 0, 521, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 522, 45, 657, 2, 959246, 1281, 960527, 99, TDMA Tensor Store Compression, 0x9320, 0x4297728528,         0, 0, 522, 46, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
2, 523, 9, 119, 2, 960528, 367, 960895, 100, TDMA Tensor Store Compression, 0x2320, 0x4295074368,         0, 0, 523, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 524, 9, 124, 2, 960896, 364, 961260, 100, TDMA Tensor Store Compression, 0x2376, 0x4295078192,         0, 0, 524, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 525, 9, 118, 2, 961261, 364, 961625, 100, TDMA Tensor Store Compression, 0x2432, 0x4295082016,         0, 0, 525, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 526, 9, 120, 2, 961626, 359, 961985, 100, TDMA Tensor Store Compression, 0x2488, 0x4295085840,         0, 0, 526, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 527, 10, 122, 2, 961986, 369, 962355, 100, TDMA Tensor Store Compression, 0x2544, 0x4295089664,         0, 0, 527, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 528, 10, 123, 2, 962356, 360, 962716, 100, TDMA Tensor Store Compression, 0x2600, 0x4295093488,         0, 0, 528, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 529, 10, 122, 2, 962717, 383, 963100, 100, TDMA Tensor Store Compression, 0x2656, 0x4295097312,         0, 0, 529, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 530, 10, 124, 2, 963101, 365, 963466, 100, TDMA Tensor Store Compression, 0x2712, 0x4295101136,         0, 0, 530, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 531, 10, 120, 2, 963467, 366, 963833, 100, TDMA Tensor Store Compression, 0x2768, 0x4295104960,         0, 0, 531, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 532, 10, 121, 2, 963834, 358, 964192, 100, TDMA Tensor Store Compression, 0x2824, 0x4295108784,         0, 0, 532, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 533, 9, 121, 2, 964193, 366, 964559, 100, TDMA Tensor Store Compression, 0x2880, 0x4295112608,         0, 0, 533, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 534, 9, 122, 2, 964560, 361, 964921, 100, TDMA Tensor Store Compression, 0x2936, 0x4295116432,         0, 0, 534, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 535, 9, 122, 2, 964922, 368, 965290, 100, TDMA Tensor Store Compression, 0x2992, 0x4295120256,         0, 0, 535, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
2, 536, 9, 126, 2, 965291, 368, 965659, 100, TDMA Tensor Store Compression, 0x3048, 0x4295124080,         0, 0, 536, 47, 56, 56, 3584, 56, 784, 1568, 64, 64, 56, 1, 56, 1, 1
1, 537, 10, 118, 1, 965660, 469, 966129, 101, TDMA Tensor Load Compression, 0x4297046000, 0x2320,         0, 0, 537, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 538, 10, 118, 1, 966130, 469, 966599, 101, TDMA Tensor Load Compression, 0x4297049824, 0x2376,         0, 0, 538, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 539, 9, 118, 1, 966600, 466, 967066, 101, TDMA Tensor Load Compression, 0x4297053648, 0x2432,         0, 0, 539, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 540, 10, 118, 1, 967067, 468, 967535, 101, TDMA Tensor Load Compression, 0x4297057472, 0x2488,         0, 0, 540, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 541, 10, 117, 1, 967536, 593, 968129, 101, TDMA Tensor Load Compression, 0x4297061296, 0x2544,         0, 0, 541, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 542, 10, 115, 1, 968130, 497, 968627, 101, TDMA Tensor Load Compression, 0x4297065120, 0x2600,         0, 0, 542, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 543, 9, 116, 1, 968628, 497, 969125, 101, TDMA Tensor Load Compression, 0x4297068944, 0x2656,         0, 0, 543, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 544, 10, 118, 1, 969126, 471, 969597, 101, TDMA Tensor Load Compression, 0x4297072768, 0x2712,         0, 0, 544, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 545, 11, 115, 1, 969598, 469, 970067, 101, TDMA Tensor Load Compression, 0x4297076592, 0x2768,         0, 0, 545, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 546, 10, 114, 1, 970068, 559, 970627, 101, TDMA Tensor Load Compression, 0x4297080416, 0x2824,         0, 0, 546, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 547, 9, 118, 1, 970628, 464, 971092, 101, TDMA Tensor Load Compression, 0x4297084240, 0x2880,         0, 0, 547, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 548, 10, 119, 1, 971093, 469, 971562, 101, TDMA Tensor Load Compression, 0x4297088064, 0x2936,         0, 0, 548, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 549, 10, 115, 1, 971563, 467, 972030, 101, TDMA Tensor Load Compression, 0x4297091888, 0x2992,         0, 0, 549, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 550, 10, 113, 1, 972031, 468, 972499, 101, TDMA Tensor Load Compression, 0x4297095712, 0x3048,         0, 0, 550, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
1, 551, 9, 124, 1, 972500, 468, 972968, 101, TDMA Tensor Load Compression, 0x4297099536, 0x3104,         0, 0, 551, 47, 56, 848, 1696, 56, 56, 3584, 64, 64, 56, 1, 56, 1, 1
4, 48, 0, 0, 3, 972972, 28389, 1001361, 102, TIU PerChannel Convolution
1, 552, 35, 487, 1, 1001363, 1908, 1003271, 104, TDMA Tensor Load Compression, 0x4296675744, 0x2320,         0, 0, 552, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 553, 33, 486, 1, 1003272, 1305, 1004577, 104, TDMA Tensor Load Compression, 0x4296690992, 0x2376,         0, 0, 553, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 554, 35, 489, 1, 1004578, 1430, 1006008, 104, TDMA Tensor Load Compression, 0x4296706240, 0x2432,         0, 0, 554, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 555, 34, 483, 1, 1006009, 1289, 1007298, 104, TDMA Tensor Load Compression, 0x4296721488, 0x2488,         0, 0, 555, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 556, 35, 484, 1, 1007299, 1317, 1008616, 104, TDMA Tensor Load Compression, 0x4296736736, 0x2544,         0, 0, 556, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 557, 32, 479, 1, 1008617, 1284, 1009901, 104, TDMA Tensor Load Compression, 0x4296751984, 0x2600,         0, 0, 557, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 558, 35, 481, 1, 1009902, 1316, 1011218, 104, TDMA Tensor Load Compression, 0x4296767232, 0x2656,         0, 0, 558, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 559, 34, 479, 1, 1011219, 1288, 1012507, 104, TDMA Tensor Load Compression, 0x4296782480, 0x2712,         0, 0, 559, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 560, 35, 482, 1, 1012508, 1294, 1013802, 104, TDMA Tensor Load Compression, 0x4296797728, 0x2768,         0, 0, 560, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
4, 49, 0, 0, 3, 1001362, 13003, 1014365, 103, TIU PerChannel Convolution
1, 561, 33, 487, 1, 1013803, 1279, 1015082, 104, TDMA Tensor Load Compression, 0x4296812976, 0x2824,         0, 0, 561, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 562, 35, 493, 1, 1015083, 1239, 1016322, 104, TDMA Tensor Load Compression, 0x4296828224, 0x2880,         0, 0, 562, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 563, 35, 484, 1, 1016323, 1235, 1017558, 104, TDMA Tensor Load Compression, 0x4296843472, 0x2936,         0, 0, 563, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 564, 34, 483, 1, 1017559, 1271, 1018830, 104, TDMA Tensor Load Compression, 0x4296858720, 0x2992,         0, 0, 564, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
1, 565, 32, 481, 1, 1018831, 1285, 1020116, 104, TDMA Tensor Load Compression, 0x4296873968, 0x3048,         0, 0, 565, 48, 56, 784, 6272, 56, 56, 14336, 256, 256, 56, 1, 56, 1, 1
4, 50, 0, 0, 3, 1020120, 1413, 1021533, 105, TIU Element-wise Mul
4, 51, 0, 0, 3, 1021534, 3177, 1024711, 105, TIU Element-wise Mac
2, 566, 46, 653, 2, 1024713, 1347, 1026060, 107, TDMA Tensor Store Compression, 0x8592, 0x4297743776,         0, 0, 566, 51, 56, 56, 14336, 56, 784, 6272, 256, 256, 56, 1, 56, 1, 1
