pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
2, 27, 9, 124, 2, 127492, 366, 127858, 14, TDMA Tensor Store Compression, 0x11904, 0x4295821184,         0, 0, 27, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 28, 10, 128, 2, 127859, 367, 128226, 14, TDMA Tensor Store Compression, 0x11960, 0x4295825008,         0, 0, 28, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 29, 9, 127, 2, 128227, 370, 128597, 14, TDMA Tensor Store Compression, 0x12016, 0x4295828832,         0, 0, 29, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 30, 9, 127, 2, 128598, 365, 128963, 14, TDMA Tensor Store Compression, 0x12072, 0x4295832656,         0, 0, 30, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 31, 9, 127, 2, 128964, 371, 129335, 14, TDMA Tensor Store Compression, 0x12128, 0x4295836480,         0, 0, 31, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 32, 9, 127, 2, 129336, 364, 129700, 14, TDMA Tensor Store Compression, 0x12184, 0x4295840304,         0, 0, 32, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 33, 10, 129, 2, 129701, 480, 130181, 14, TDMA Tensor Store Compression, 0x12240, 0x4295844128,         0, 0, 33, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 34, 10, 128, 2, 130182, 365, 130547, 14, TDMA Tensor Store Compression, 0x12296, 0x4295847952,         0, 0, 34, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 35, 10, 127, 2, 130548, 371, 130919, 14, TDMA Tensor Store Compression, 0x12352, 0x4295851776,         0, 0, 35, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 36, 10, 127, 2, 130920, 366, 131286, 14, TDMA Tensor Store Compression, 0x12408, 0x4295855600,         0, 0, 36, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
